RBP,Motif
ZFP36,M263_0.6
ZFP36,M264_0.6
ZFP36,M265_0.6
ZFP36,M266_0.6
ZFP36,M267_0.6
ZFP36,M268_0.6
ZFP36,M269_0.6
ZFP36,221_12324455
ZFP36,M350_0.6
ZFP36,951_12324455
MBNL3,669_20071745
MBNL3,M037_0.6
MBNL3,M320_0.6
MBNL1,M320_0.6
MBNL1,M037_0.6
MBNL1,669_20071745
ZFP36L2,M263_0.6
ZFP36L2,M264_0.6
ZFP36L2,M265_0.6
ZFP36L2,M266_0.6
ZFP36L2,M267_0.6
ZFP36L2,M268_0.6
ZFP36L2,M269_0.6
ZFP36L2,221_12324455
ZFP36L2,M350_0.6
ZFP36L2,951_12324455
ZFP36L1,M263_0.6
ZFP36L1,M264_0.6
ZFP36L1,M265_0.6
ZFP36L1,M266_0.6
ZFP36L1,M267_0.6
ZFP36L1,M268_0.6
ZFP36L1,M269_0.6
ZFP36L1,221_12324455
ZFP36L1,M350_0.6
ZFP36L1,951_12324455
SRSF7,M071_0.6
SRSF7,M331_0.6
SRSF7,M353_0.6
SRSF7,790_10094314
SRSF7,954_10094314
CSDA,M082_0.6
CSDA,M081_0.6
CSDA,M111_0.6
CSDA,114_7499328
CSDA,M250_0.6
CSDA,M254_0.6
CSDA,115_7499328
CSDA,M260_0.6
CSDA,130_11376140
KHSRP,M339_0.6
KHSRP,M340_0.6
KHSRP,M341_0.6
KHSRP,M342_0.6
FMR1,M016_0.6
FMR1,M304_0.6
FMR1,M305_0.6
NOVA2,M323_0.6
NOVA2,M325_0.6
NOVA2,680_9789075
NOVA2,682_10811881
QKI,M046_0.6
QKI,M262_0.6
QKI,149_16041388
QKI,M281_0.6
NOVA1,M322_0.6
NOVA1,M324_0.6
FUBP1,M339_0.6
FUBP1,M340_0.6
FUBP1,"M341_0.6	"
FUBP1,"M342_0.6	"
IGF2BP2,M032_0.6
IGF2BP2,M294_0.6
IGF2BP3,M163_0.6
IGF2BP3,M295_0.6
IGF2BP1,M293_0.6
IGF2BP1,M296_0.6
IGF2BP1,359_12507992
PUM2,M249_0.6
PUM2,M280_0.6
PUM2,M284_0.6
PUM1,M255_0.6
PUM1,M283_0.6
FUS,M316_0.6
FUS,637_11098054
TAF15,M316_0.6
TAF15,637_11098054
ZRANB2,M259_0.6
ZRANB2,1285_19304800
PTBP1,M227_0.6
PTBP1,M228_0.6
PTBP1,M303_0.6
EIF4B,M290_0.6
EIF4B,350_8846295
EIF4B,M291_0.6
EIF4B,351_8846295
EIF4B,M292_0.6
EIF4B,352_8846295
ELAVL1,M031_0.6
ELAVL1,M108_0.6
ELAVL1,M112_0.6
ELAVL1,M127_0.6
ELAVL1,M232_0.6
ELAVL1,M327_0.6
PABPC1,M146_0.6
PABPC1,M275_0.6
PABPC1,24_7908267
PABPC1,M349_0.6
PABPC1,950_7908267
SNRPA,M069_0.6
SNRPA,M317_0.6
SNRPA,661_1717938
SNRPA,M318_0.6
SNRPA,662_1717938
SNRPA,M319_0.6
SNRPA,663_1717938
SNRPA,M345_0.6
SNRPA,946_10094314
SNRPA,M346_0.6
SNRPA,947_10094314
SNRPA,M347_0.6
SNRPA,948_10094314
SNRPA,M348_0.6
SNRPA,949_10094314
A2BP1,M159_0.6
A2BP1,M298_0.6
A2BP1,37_16537540
RBFOX2,M017_0.6
RBFOX2,M118_0.6
RBFOX2,M159_0.6
RBFOX2,M297_0.6
RBFOX2,36_12574126
RBFOX2,M298_0.6
RBFOX2,37_16537540
SRSF5,M355_0.6
SRSF5,M356_0.6
SRSF5,M357_0.6
PABPN1,M148_0.6
PABPC1L,M042_0.6
PABPC1L,M144_0.6
PABPC1L,M146_0.6
PABPC1L,M275_0.6
PABPC1L,24_7908267
PABPC1L,M349_0.6
PABPC1L,950_7908267
ELAVL2,M328_0.6
ELAVL2,782_8497264
ELAVL2,M329_0.6
ELAVL2,783_7972035
ELAVL2,M330_0.6
ELAVL2,784_7972035
SRSF9,M065_0.6
SRSF9,M072_0.6
SRSF9,M333_0.6
SRSF9,797_17548433
SRSF3,M056_0.6
SRSF3,M121_0.6
SRSF3,M335_0.6
SRSF3,M336_0.6
NCL,M245_0.6
NCL,1004_8676391
SRSF4,M126_0.6
SRSF4,M334_0.6
SRSF4,802_9111335
SFPQ,M168_0.6
SFPQ,M308_0.6
PTBP2,M227_0.6
PTBP2,M228_0.6
PTBP2,M303_0.6
ROD1,M227_0.6
ROD1,M228_0.6
ROD1,M303_0.6
PSPC1,M168_0.6
PSPC1,M308_0.6
SRSF6,M126_0.6
SRSF6,M334_0.6
SRSF6,802_9111335
SNRPB2,M069_0.6
SNRPB2,M136_0.6
SNRPB2,M317_0.6
SNRPB2,661_1717938
SNRPB2,M318_0.6
SNRPB2,662_1717938
SNRPB2,M319_0.6
SNRPB2,663_1717938
SNRPB2,M345_0.6
SNRPB2,946_10094314
SNRPB2,M346_0.6
SNRPB2,947_10094314
SNRPB2,M347_0.6
SNRPB2,948_10094314
SNRPB2,M348_0.6
SNRPB2,949_10094314
HNRNPA1,M022_0.6
HNRNPA1,M271_0.6
HNRNPA1,23_7510636
HNRNPA1,M312_0.6
SRSF1,M102_0.6
SRSF1,M103_0.6
SRSF1,M104_0.6
SRSF1,M105_0.6
SRSF1,M106_0.6
SRSF1,M154_0.6
SRSF1,M270_0.6
SRSF1,M272_0.6
SRSF1,242_7543047
SRSF1,M273_0.6
SRSF1,243_7543047
SRSF1,M351_0.6
SRSF1,952_7543047
TRA2B,M311_0.6
HNRNPD,M301_0.6
SF3B4,M195_0.6
SF3B4,M201_0.6
SF3B4,M205_0.6
SF3B4,M261_0.6
SF3B4,145_9163526
G3BP1,M302_0.6
NONO,M307_0.6
NONO,488_9001221
NONO,M309_0.6
RBMX,M344_0.6
RBMX,922_19282290
TIAL1,M310_0.6
HNRPDL,M210_0.6
HNRPDL,M301_0.6
SRSF2,M070_0.6
SRSF2,M274_0.6
SRSF2,244_7543047
SRSF2,M332_0.6
